what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.6.0_23",1445512204475
java.vm.info,sysinfo,,,"mixed mode",1445512204475
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1445512204475
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1445512204475
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1445512204475
java.vm.specification.version,sysinfo,,,"1.0",1445512204475
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1445512204475
java.vm.version,sysinfo,,,"19.0-b09",1445512204475
started,bundle,com.altera.sbtgui.integration,12.1.1.243,"com.altera.sbtgui.integration",1445512204689
started,bundle,com.altera.systemconsole,12.1.1.243,"com.altera.systemconsole",1445512204745
started,bundle,com.altera.utilities,12.1.1.243,"com.altera.utilities",1445512204823
started,bundle,com.altera.systemconsole.designs.plugin,12.1.1.243,"com.altera.systemconsole.designs.plugin",1445512204871
started,bundle,com.altera.systemconsole.scripting,12.1.1.243,"com.altera.systemconsole.scripting",1445512205373
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1445512205562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445512206002
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1445512206496
started,bundle,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch",1445512207000
